OTU	12o	7o	2o	11o	4o	5o	13o	6o	1o	14o	3o	9o	15o	10o	8o
k__Bacteria;p__Bacteroidetes;c__[Saprospirae];o__[Saprospirales];f__Chitinophagaceae	0.0	0.0	0.0	0.0	3.978357733927434e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Chloroflexi;c__Anaerolineae;o__Anaerolineales;f__Anaerolinaceae	0.0	7.747373640335927e-05	1.710600591867805e-05	0.0	0.0	4.331911022547597e-05	1.8596347677316173e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.6685855400377098e-05
k__Bacteria;p__Chloroflexi;c__Thermomicrobia;o__JG30-KF-CM45;f__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.28550001071375e-05	0.0	0.0	0.0	0.0
k__Bacteria;p__Cyanobacteria;c__4C0d-2;o__MLE1-12;f__	0.0	0.0	0.0	0.0	0.0	0.0005414888778184496	5.578904303194853e-05	1.6848915772270053e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Cyanobacteria;c__4C0d-2;o__YS2;f__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Cyanobacteria;c__Chloroplast;o__Stramenopiles;f__	0.00018027762754642152	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Cyanobacteria;c__Chloroplast;o__Streptophyta;f__	0.003845922720990326	1.5494747280671853e-05	0.0	9.379323281825216e-05	0.0	0.008338928718404123	1.8596347677316173e-05	0.0	0.0012692278548154885	0.0	2.142750005356875e-05	0.0	0.0	0.0	0.0
k__Bacteria;p__FBP;c__;o__;f__	0.0	0.0	0.0	0.0	0.0	0.0	3.7192695354632346e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__	4.006169501031589e-05	0.0	0.0	0.0	0.0	2.1659555112737987e-05	1.8596347677316173e-05	0.0	0.0	0.003587993349085499	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae	0.002804318650722112	3.0989494561343705e-05	3.4212011837356105e-05	0.0011958637184327154	0.0035805219605346914	0.0044618683532240255	0.0008926246885111764	0.0004043739785344813	0.0007766916723497764	0.04559376914325719	0.00051426000128565	0.002908807388970522	0.07273290003095018	0.00032028184802626315	6.674342160150839e-05
